address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"8427 148 Street, Surrey, BC",3,3,2350 sqft,,4,"$4,489",1984,R2870744,Residential,Yes,,$595,23/04/2024,"$1,410,100",17/04/2024,"$1,399,500"
"103 - 7790 King George Boulevard, Surrey, BC",2,1,980 sqft,,2,$403,1978,R2873141,Residential,No,,$224,23/04/2024,"$208,000",21/04/2024,"$219,900"
,,,,,,,,,Residential,Yes,,"$1,039",,,,
"50 - 8737 161 Street, Surrey, BC",2,2,1314 sqft,,2,"$2,883",2002,R2866873,Residential,Yes,,$570,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2709 - 13615 Fraser Highway, Surrey, BC",2,2,809 sqft,,1,"$2,473",2021,R2868147,Residential,Yes,,$852,23/04/2024,"$685,000",07/04/2024,"$689,900"
"6 - 16570 24 A Avenue, Surrey, BC",4,3,1673 sqft,,2,"$3,967",2021,R2856515,Residential,Yes,,$689,23/04/2024,"$1,128,000",05/03/2024,"$1,153,000"
"15678 102 B Avenue, Surrey, BC",4,2,2431 sqft,,6,"$4,809",1982,R2870389,Residential,Yes,,$575,23/04/2024,"$1,360,000",14/04/2024,"$1,399,999"
