address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
"421 - 6688 120 Street, Surrey, BC",2,2,854 sqft,,2,"$2,288",2011,R2859328,Residential,Yes,,$759,14/04/2024,"$635,000",13/03/2024,"$649,000"
"109 - 14225 103 A Avenue, Surrey, BC",2,2,788 sqft,,2,$275,2023,R2864722,Residential,Yes,,$836,,,,
"1908 - 13655 Fraser Highway, Surrey, BC",1,1,509 sqft,,1,"$1,921",2021,R2867780,Residential,Yes,,$982,14/04/2024,"$499,000",07/04/2024,"$499,999"
,,,,,,,,,,,,,,,,
"207 - 13507 96 Avenue, Surrey, BC",1,1,790 sqft,,1,"$1,658",1984,R2865201,Residential,Yes,,$550,,,,
"17705 68 Avenue, Surrey, BC",5,3,3418 sqft,,4,"$5,301",2011,R2868953,Residential,Yes,,$464,14/04/2024,"$1,552,000",09/04/2024,"$1,588,888"
"16 - 14959 58 Avenue, Surrey, BC",4,3,1945 sqft,,2,"$2,994",2002,R2858286,Residential,Yes,,$472,14/04/2024,"$919,900",11/03/2024,"$919,900"
"21 - 15850 85 Avenue, Surrey, BC",4,3,1527 sqft,,3,"$2,200",2021,R2848752,Residential,Yes,,$654,14/04/2024,"$962,000",11/02/2024,"$999,013"
"212 - 6557 121 Street, Surrey, BC",1,1,834 sqft,,2,"$1,810",1998,R2861728,Residential,Yes,,$551,,,,
"9436 157 A Street, Surrey, BC",3,3,1726 sqft,,4,"$4,787",1986,R2860879,Residential,Yes,,$811,14/04/2024,"$1,380,000",18/03/2024,"$1,399,800"
"16 - 14959 58 Avenue, Surrey, BC",4,3,1945 sqft,,2,"$2,994",2002,R2858286,Residential,Yes,,$472,14/04/2024,"$919,900",11/03/2024,"$919,900"
"4 - 15688 28 Avenue, Surrey, BC",4,3,2231 sqft,,2,"$3,460",2017,R2838496,Residential,Yes,,$582,14/04/2024,"$1,296,000",02/01/2024,"$1,299,000"
"67 - 15151 Edmund Drive, Surrey, BC",4,2,1678 sqft,,2,"$3,233",2022,R2867424,Residential,Yes,,$535,14/04/2024,"$980,000",07/04/2024,"$899,000"
"17185 63 Avenue, Surrey, BC",7,5,3725 sqft,,0,"$4,780",2023,R2867106,Residential,Yes,,$603,14/04/2024,"$2,200,000",04/04/2024,"$2,249,000"
,,,,,,,,,,,,,,,,
"315 - 9983 Barnston Avenue, Surrey, BC",2,1,717 sqft,,1,"$2,051",2018,R2859047,Residential,Yes,,$835,14/04/2024,"$580,000",12/03/2024,"$599,000"
"411 - 8115 121a Street, Surrey, BC",2,2,856 sqft,,2,"$1,912",1999,R2859206,Residential,Yes,,$664,14/04/2024,"$550,000",10/03/2024,"$568,888"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"1104 - 13380 108 Avenue, Surrey, BC",1,1,570 sqft,,1,"$1,768",2010,R2866623,Residential,Yes,,$700,14/04/2024,"$447,500",07/04/2024,"$399,000"
"207 - 10157 University Drive, Surrey, BC",2,1,834 sqft,,1,"$1,708",1984,R2868645,Residential,Yes,,$575,14/04/2024,"$462,500",02/04/2024,"$479,900"
"14668 110 A Avenue, Surrey, BC",3,1,1100 sqft,,4,"$4,783",9999,R2867093,Residential,Yes,,$999,14/04/2024,"$1,305,000",04/04/2024,"$1,099,880"
"16423 11 A Avenue, Surrey, BC",3,2,1568 sqft,,5,"$4,991",1988,R2868358,Residential,Yes,,$955,14/04/2024,"$1,430,000",05/04/2024,"$1,499,000"
"4 - 2328 167 A Street, Surrey, BC",3,2,1390 sqft,,2,"$3,134",2020,R2869088,Residential,Yes,,$715,14/04/2024,"$990,000",08/04/2024,"$995,000"
"4 - 17968 56a Avenue, Surrey, BC",3,3,1916 sqft,,5,"$3,007",1994,R2869037,Residential,Yes,,$453,13/04/2024,"$860,000",09/04/2024,"$869,000"
"216 - 15350 19a Avenue, Surrey, BC",1,1,927 sqft,,1,"$2,130",1996,R2868471,Residential,Yes,,$592,13/04/2024,"$548,800",08/04/2024,"$548,800"
"118 - 7341 140 Street, Surrey, BC",3,1,1398 sqft,,2,"$2,804",1983,R2862986,Residential,No,,$532,13/04/2024,"$730,000",25/03/2024,"$745,000"
"2556 163 A Street, Surrey, BC",4,3,3498 sqft,,4,"$6,167",2010,R2868917,Residential,Yes,,$596,13/04/2024,"$2,125,000",10/04/2024,"$2,088,000"
"104 - 19388 65 Avenue, Surrey, BC",1,1,764 sqft,,2,,2005,R2864336,Residential,Yes,,$719,13/04/2024,"$549,900",01/04/2024,"$549,900"
"1005 - 15038 101 Avenue, Surrey, BC",2,2,1325 sqft,,2,"$2,240",1991,R2869839,Residential,Yes,,$475,13/04/2024,"$650,001",09/04/2024,"$629,900"
"119 - 15110 108 Avenue, Surrey, BC",1,1,732 sqft,,1,"$1,747",1993,R2869361,Residential,Yes,,$607,13/04/2024,"$440,000",10/04/2024,"$445,000"
"5871 168 A Street, Surrey, BC",6,3,3358 sqft,,8,"$6,451",1999,R2852895,Residential,Yes,,$498,13/04/2024,"$1,655,000",27/02/2024,"$1,675,000"
"18243 59 A Avenue, Surrey, BC",4,3,2346 sqft,,6,"$4,885",1980,R2865840,Residential,Yes,,$660,13/04/2024,"$1,515,000",02/04/2024,"$1,549,000"
"8118 153 A Street, Surrey, BC",7,3,4212 sqft,,6,"$5,459",1991,R2864380,Residential,Yes,,$427,13/04/2024,"$1,835,000",01/04/2024,"$1,799,000"
"15928 107a Avenue, Surrey, BC",4,3,2953 sqft,,4,"$5,503",2005,R2863553,Residential,Yes,,$639,13/04/2024,"$1,790,000",26/03/2024,"$1,888,000"
"17 - 15688 28 Avenue, Surrey, BC",4,3,1864 sqft,,2,"$3,413",2017,R2862263,Residential,Yes,,$658,13/04/2024,"$1,184,000",21/03/2024,"$1,228,000"
